timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
607743880313395,-0.0214408,0.0878571,0.0747485,-2.73426,8.35362,4.34321
607743884316095,-0.0196082,0.0487617,0.0753594,-2.81088,8.3656,4.36476
607743888318761,-0.0177756,0.0121098,0.0869658,-2.85398,8.39672,4.37434
607743892321461,-0.0104452,-0.0428681,0.106514,-2.85398,8.41348,4.37673
607743896324161,-0.0049474,-0.0673027,0.11812,-2.8444,8.39912,4.3504
607743900326827,-6.04757E-005,-0.1009,0.133392,-2.83003,8.39193,4.33124
607743904329527,-0.00189307,-0.137552,0.149274,-2.8037,8.35602,4.34561
607743908332193,0.00299385,-0.172372,0.157215,-2.78933,8.35602,4.34321
607743912334893,0.00482645,-0.212078,0.16027,-2.76539,8.35841,4.32167
607743916337593,0.00299385,-0.247508,0.168822,-2.69595,8.32489,4.34561
607743920340259,0.00788077,-0.260947,0.1676,-2.62652,8.32729,4.35519
607743924342925,0.0091025,-0.253006,0.1676,-2.51159,8.32968,4.29772
607743928345591,0.0152112,-0.225517,0.157215,-2.41582,8.30334,4.28336
607743932348257,0.0231524,-0.190087,0.1395,-2.37033,8.27701,4.2642
607743936350957,0.0255959,-0.152213,0.132781,-2.30329,8.29856,4.3073
607743940353623,0.0310937,-0.122891,0.115066,-2.30329,8.3201,4.26899
607743944356323,0.0304828,-0.0862395,0.100405,-2.26977,8.35123,4.23547
607743948358956,0.0274285,-0.0275964,0.081468,-2.19316,8.35362,4.21153
607743952361622,0.038424,0.0231054,0.0582552,-2.1764,8.35602,4.20674
607743956364288,0.0378132,0.0591464,0.0417618,-2.12372,8.37996,4.22829
607743960366988,0.0402566,0.0970201,0.0325988,-2.1333,8.40869,4.25702
607743964369688,0.043311,0.0939657,0.0301554,-2.24583,8.48292,4.22829
607743968372354,0.0365914,0.0768615,0.0240467,-2.34878,8.5308,4.21153
607743972375020,0.0323154,0.0341009,0.027101,-2.43019,8.54277,4.23787
607743976377686,0.0335371,-0.0037727,0.0283228,-2.51399,8.52362,4.28575
607743980380419,0.024985,-0.0465333,0.0393183,-2.60737,8.54996,4.348
